Name,Address,Section,Lab 1,Lab 2,Lab 3,Lab 4,Lab 5,Lab 6,Lab 7,Lab 8,Lab 9,Lab 10,HW 1,HW 2,HW 3,HW 4,HW 5,HW 6,HW 7,HW 8,HW 9,HW 10,HW 11,HW 12,Project 1,Project 2,Exam 1,Exam 2,Exam 3
"Pelcher, Moranda","689 Minnesota St, Croydon UT, 84018",1,79.7,66.4,100,68.2,43.4,30.1,86.6,82.4,100,33.4,82.4,100,100,68.5,100,59.5,89.5,40.2,70.4,100,82.6,60.4,30.4,92.8,100,68.3,66.4
"Bazer, Frantz","563 Hitchcock Ln, Jonesboro IL, 62952",1,96.4,32.8,68.0,100,74.1,100,64.5,65.6,74.9,100,45.9,69.2,88.8,64.7,65.8,90.1,100,87.3,80.1,100,100,63.0,43.7,48.8,87.6,64.4,82.8
"Supplee, Zenas","144 Battery Cranston Rd, Peru IN, 46970",7,61.8,55.5,48.6,62.2,100,97.5,8.9,59.1,73.2,51.1,100,57.0,84.2,69.0,100,92.8,45.6,75.8,67.4,100,75.9,42.1,71.9,65.7,73.4,48.1,57.1
"Beutel, Osiel","403 Mansfield St, Colorado Springs CO, 80919",2,65.1,53.6,51.2,78.8,88.0,82.8,60.9,56.1,100,49.0,100,100,38.6,83.6,60.2,80.4,90.3,100,79.1,82.8,87.6,100,48.0,84.0,79.7,92.2,83.6
"Macchio, Esq., Antonino","253 Loraine Ct, Livermore ME, 4253",8,53.4,89.9,100,71.3,100,94.6,22.1,89.0,20.2,37.3,39.0,100,68.6,63.1,84.6,53.2,96.7,100,49.3,28.4,58.0,100,42.3,59.1,59.9,71.3,91.8
"Barayuga, III, Cydney","106 Church St, Hazleton IN, 47640",4,78.0,95.7,83.7,76.8,83.3,78.6,100,56.5,65.7,100,77.9,64.9,66.9,76.5,74.2,100,68.1,78.1,83.2,88.0,87.9,84.9,43.5,94.4,58.4,95.4,100
"Souvannasap, Laterrance","115 Marin St, Holmes City MN, 56341",3,83.6,24.1,88.1,50.3,46.6,24.4,78.2,53.3,55.6,100,83.8,63.4,42.6,55.8,57.0,100,75.2,66.9,69.9,100,100,86.7,46.5,94.0,66.2,100,100
"Busie, Shalana","452 Sheridan Ave, Apt. 50, Fort Worth TX, 76197",8,85.3,60.9,67.7,65.0,76.8,87.1,67.2,79.9,43.0,63.8,57.7,84.9,100,51.8,84.3,65.0,84.2,86.4,43.3,100,74.3,100,31.5,77.4,60.1,85.4,100
"Commander, Josehua","353 Meade Ave, Putnam IL, 61560",7,79.8,74.2,40.1,82.0,53.8,77.0,83.9,91.6,87.6,100,95.9,55.6,83.1,45.8,34.1,84.5,92.0,62.4,39.8,100,57.8,90.1,100,75.7,85.9,52.8,57.9
"Goguen, Tarrance","143 I-280 S Off Ramp, Newburgh NY, 12555",2,31.6,61.4,100,32.3,83.1,73.5,48.9,87.5,100,64.2,71.5,100,32.5,100,14.5,42.1,81.2,72.9,99.9,41.4,100,44.8,100,51.5,61.2,76.6,100
"Seiley, Jodie","159 Silverview Dr, Ivanhoe VA, 24350",4,82.3,52.7,73.3,66.2,64.8,44.5,47.1,49.5,100,80.6,79.8,77.7,92.3,100,,44.7,67.0,65.2,100,90.4,41.2,86.1,77.1,80.4,81.4,74.9,69.4
"Strater, Juline","343 West Rd, Moulton IA, 52572",4,73.7,86.9,85.9,49.6,53.2,93.2,96.4,92.3,100,29.9,65.3,100,63.4,100,75.9,50.3,79.9,100,66.3,74.3,26.7,100,100,65.5,100,97.1,59.7
"Detullio, Tylene","100 Plum St, Greenville SC, 29602",1,30.7,100,-0.9,63.0,75.0,65.3,91.7,75.4,87.7,97.1,100,100,51.3,48.3,100,88.2,81.4,85.8,94.5,89.9,71.8,92.8,82.4,73.0,74.6,100,100
"Bryla, Wilhemina","214 Navy Rd, May OK, 73851",10,23.9,58.9,100,95.0,100,100,68.5,100,98.3,78.8,95.7,44.6,77.3,72.8,100,72.8,100,93.4,72.8,47.0,91.8,78.2,68.9,65.7,100,99.5,67.5
"Duff, Chivon","596 Rincon St, Altamont NY, 12009",3,100,74.3,49.8,100,83.6,88.9,53.5,61.8,100.0,97.8,63.3,85.2,100,74.7,100,95.0,66.6,82.3,71.7,80.2,49.0,75.4,46.2,97.1,94.7,76.3,100
"Tipsword, Ijeoma","801 Rod Rd, Wyckoff NJ, 7481",10,92.6,53.0,75.5,93.2,100,46.7,43.1,40.6,51.9,70.4,100,99.1,59.5,100,72.2,100,77.9,100.0,89.8,76.7,100,100,55.4,60.9,100,81.9,100
"Baltierra, Leib","320 Webb Pl, Ghent NY, 12075",4,73.7,100,22.1,55.3,76.5,51.7,58.9,100,56.2,100,100,61.7,100,82.6,100,68.4,49.6,66.2,52.7,50.9,28.8,75.1,57.1,30.9,73.1,100,88.7
"Cummisky, Trudy","531 Galindo Ave, Elkhart IA, 50073",8,83.1,67.1,92.0,50.7,81.4,100,100,42.1,40.7,100,70.6,52.1,61.9,57.0,100,97.5,62.9,89.8,63.0,88.2,67.7,100,100,100,100,73.3,74.7
